trimestre,CVEMET,zona_metro,acteco
2011-12-01,071,Mazatlán,65404.2115594359
2011-12-01,072,Cd. Obregón,51117.3917382534
2011-12-01,073,Hermosillo,127292.820460134
2011-12-01,074,Cárdenas,52502.3018680097
2011-12-01,075,Cd. Victoria,45905.3949401593
2011-12-01,076,Chetumal,19896.6513962141
2011-12-01,077,Chilpancingo,20814.2658023069
2011-12-01,078,Moroleón,8940.7147789069
2012-03-01,001,Aguascalientes,144799.84938866
2012-03-01,002,Tijuana,189659.867220725
2012-03-01,003,Mexicali,150702.962581787
2012-03-01,004,La Laguna,254650.297851972
2012-03-01,005,Saltillo,120933.183624683
2012-03-01,006,Monclova,61573.8337581527
2012-03-01,007,Piedras Negras,40194.115000209
2012-03-01,008,Colima,44694.6354320721
2012-03-01,009,Tecomán,9887.76476526357
2012-03-01,010,Tuxtla,98404.3235850098
2012-03-01,011,Juárez,224631.462062116
2012-03-01,012,Chihuahua,81598.7792708311
2012-03-01,013,CDMX,3442921.18024467
2012-03-01,014,León,183741.94017412
2012-03-01,015,San Francisco,18978.2688079203
2012-03-01,016,Acapulco,85672.6872237129
2012-03-01,017,Pachuca,64934.9159030654
2012-03-01,018,Tulancingo,23231.1115705817
2012-03-01,019,Tula,38779.8025812266
2012-03-01,020,Guadalajara,643484.007909763
2012-03-01,021,Puerto Vallarta,57435.1054163774
2012-03-01,022,Ocotlán,12074.669494442
2012-03-01,023,Toluca,166678.320824436
2012-03-01,024,Morelia,100865.670882266
2012-03-01,025,Zamora,21188.0518629463
2012-03-01,026,Pénjamo,24697.4204377479
2012-03-01,027,Cuernavaca,88937.5631068722
2012-03-01,028,Cuautla,50057.7130178717
2012-03-01,029,Tepic,51710.6272849489
2012-03-01,030,Monterrey,899221.642949894
2012-03-01,031,Oaxaca,73659.1625632741
2012-03-01,032,Tehuantepec,33177.4599587453
2012-03-01,033,Puebla,308720.713686869
2012-03-01,034,Tehuacán,25647.8083112206
2012-03-01,035,Querétaro,216209.184666983
2012-03-01,036,Cancún,137743.126299235
2012-03-01,037,San Luis,181636.965065068
2012-03-01,038,Cd. Fernández,8578.03240763301
2012-03-01,039,Guaymas,36430.8726889777
2012-03-01,040,Villahermosa,205998.688467259
2012-03-01,041,Tampico,92580.276788581
2012-03-01,042,Reynosa,133792.540530079
2012-03-01,043,Matamoros,71721.5327852034
2012-03-01,044,Nuevo Laredo,103428.155057262
2012-03-01,045,Tlaxcala,45825.0469469875
2012-03-01,046,Veracruz,144991.654690493
2012-03-01,047,Xalapa,77412.068504711
2012-03-01,048,Poza Rica,53941.3550819631
2012-03-01,049,Orizaba,59777.5593549867
2012-03-01,050,Minatitlán,86800.4726015866
2012-03-01,051,Coatzacoalcos,119607.300005107
2012-03-01,052,Córdoba,23536.7684988069
2012-03-01,053,Mérida,168926.331728829
2012-03-01,054,Zacatecas,42606.3923114854
2012-03-01,055,Ensenada,58297.3705169321
2012-03-01,056,La Paz,52942.6144486807
2012-03-01,057,Los Cabos,38849.0575925774
2012-03-01,058,Campeche,261917.844003266
2012-03-01,059,Cd. del Carmen,247947.083391224
2012-03-01,060,Manzanillo,31805.9940293296
2012-03-01,061,Tapachula,21497.4108344155
2012-03-01,062,Durango,55541.3247208534
2012-03-01,063,Celaya,76369.8769402778
2012-03-01,064,Guanajuato,14048.4628740459
