"r_sun","cvenet","ent","cvemun","mun","zona_met","tipo_ciudad","nombre_corto"
51,0,"Veracruz",30082,"Ixhuatlán del Sureste","Coatzacoalcos",1,"Coatzacoalcos"
51,0,"Veracruz",30206,"Nanchital de Lázaro Cárdenas del Río","Coatzacoalcos",1,"Coatzacoalcos"
52,0,"Veracruz",30014,"Amatlán de los Reyes","Córdoba",1,"Córdoba"
52,0,"Veracruz",30044,"Córdoba","Córdoba",1,"Córdoba"
52,0,"Veracruz",30068,"Fortín","Córdoba",1,"Córdoba"
52,0,"Veracruz",30196,"Yanga","Córdoba",1,"Córdoba"
53,0,"Yucatán",31013,"Conkal","Mérida",1,"Mérida"
53,0,"Yucatán",31041,"Kanasín","Mérida",1,"Mérida"
53,0,"Yucatán",31050,"Mérida","Mérida",1,"Mérida"
53,0,"Yucatán",31100,"Ucú","Mérida",1,"Mérida"
53,0,"Yucatán",31101,"Umán","Mérida",1,"Mérida"
54,0,"Zacatecas",32017,"Guadalupe","Zacatecas-Guadalupe",1,"Zacatecas"
54,0,"Zacatecas",32032,"Morelos","Zacatecas-Guadalupe",1,"Zacatecas"
54,0,"Zacatecas",32056,"Zacatecas","Zacatecas-Guadalupe",1,"Zacatecas"
55,0,"Baja California",2001,"Ensenada","Ensenada",1,"Ensenada"
56,0,"Baja California Sur",3003,"La Paz","La Paz",1,"La Paz"
57,0,"Baja California Sur",3008,"Los Cabos","Los Cabos",1,"Los Cabos"
58,0,"Campeche",4002,"Campeche","Campeche",1,"Campeche"
59,0,"Campeche",4003,"Carmen","Ciudad del Carmen",1,"Cd. del Carmen"
60,0,"Colima",6007,"Manzanillo","Manzanillo",1,"Manzanillo"
61,0,"Chiapas",7089,"Tapachula","Tapachula",1,"Tapachula"
62,0,"Durango",10005,"Durango","Durango",1,"Durango"
63,0,"Guanajuato",11007,"Celaya","Celaya",1,"Celaya"
63,0,"Guanajuato",11009,"Comonfort","Celaya",1,"Celaya"
63,0,"Guanajuato",11044,"Villagrán","Celaya",1,"Celaya"
64,0,"Guanajuato",11015,"Guanajuato","Guanajuato",1,"Guanajuato"
65,0,"Guanajuato",11017,"Irapuato","Irapuato",1,"Irapuato"
66,0,"Guanajuato",11027,"Salamanca","Salamanca",1,"Salamanca"
67,0,"Michoacán",16102,"Uruapan","Uruapan",1,"Uruapan"
68,0,"Querétaro",22016,"San Juan del Río","San Juan del Río",1,"San Juan del Río"
69,0,"Sinaloa",25001,"Ahome","Los Mochis",1,"Los Mochis"
70,0,"Sinaloa",25006,"Culiacán","Culiacán",1,"Culiacán"
71,0,"Sinaloa",25012,"Mazatlán","Mazatlán",1,"Mazatlán"
72,0,"Sonora",26018,"Cajeme","Ciudad Obregón",1,"Cd. Obregón"
73,0,"Sonora",26030,"Hermosillo","Hermosillo",1,"Hermosillo"
74,0,"Tabasco",27002,"Cárdenas","Cárdenas",1,"Cárdenas"
75,0,"Tamaulipas",28041,"Victoria","Ciudad Victoria",1,"Cd. Victoria"
76,0,"Quintana Roo",23004,"Othón P. Blanco","Chetumal",1,"Chetumal"
77,0,"Guerrero",12029,"Chilpancingo de los Bravo","Chilpancingo",1,"Chilpancingo"
78,0,"Guanajuato",11021,"Moroleón","Moroleón-Uriangato",1,"Moroleón"
78,0,"Guanajuato",11041,"Uriangato","Moroleón-Uriangato",1,"Moroleón"
