"CVEMET","zona_met","nombre_corto","ent","CVEMUN","CVEENT"
13,"Valle de México","ZMVM","Ciudad de México",9010,9
13,"Valle de México","ZMVM","Ciudad de México",9011,9
13,"Valle de México","ZMVM","Ciudad de México",9012,9
13,"Valle de México","ZMVM","Ciudad de México",9013,9
13,"Valle de México","ZMVM","Ciudad de México",9014,9
13,"Valle de México","ZMVM","Ciudad de México",9015,9
13,"Valle de México","ZMVM","Ciudad de México",9016,9
13,"Valle de México","ZMVM","Ciudad de México",9017,9
13,"Valle de México","ZMVM","Hidalgo",13069,13
13,"Valle de México","ZMVM","México",15002,15
13,"Valle de México","ZMVM","México",15009,15
13,"Valle de México","ZMVM","México",15010,15
13,"Valle de México","ZMVM","México",15011,15
13,"Valle de México","ZMVM","México",15013,15
13,"Valle de México","ZMVM","México",15015,15
13,"Valle de México","ZMVM","México",15016,15
13,"Valle de México","ZMVM","México",15017,15
13,"Valle de México","ZMVM","México",15020,15
13,"Valle de México","ZMVM","México",15022,15
13,"Valle de México","ZMVM","México",15023,15
13,"Valle de México","ZMVM","México",15024,15
13,"Valle de México","ZMVM","México",15025,15
13,"Valle de México","ZMVM","México",15028,15
13,"Valle de México","ZMVM","México",15029,15
13,"Valle de México","ZMVM","México",15030,15
13,"Valle de México","ZMVM","México",15031,15
13,"Valle de México","ZMVM","México",15033,15
13,"Valle de México","ZMVM","México",15034,15
13,"Valle de México","ZMVM","México",15035,15
13,"Valle de México","ZMVM","México",15036,15
13,"Valle de México","ZMVM","México",15037,15
13,"Valle de México","ZMVM","México",15038,15
13,"Valle de México","ZMVM","México",15039,15
13,"Valle de México","ZMVM","México",15044,15
13,"Valle de México","ZMVM","México",15046,15
13,"Valle de México","ZMVM","México",15050,15
13,"Valle de México","ZMVM","México",15053,15
13,"Valle de México","ZMVM","México",15057,15
13,"Valle de México","ZMVM","México",15058,15
13,"Valle de México","ZMVM","México",15059,15
13,"Valle de México","ZMVM","México",15060,15
13,"Valle de México","ZMVM","México",15061,15
13,"Valle de México","ZMVM","México",15065,15
13,"Valle de México","ZMVM","México",15068,15
13,"Valle de México","ZMVM","México",15069,15
13,"Valle de México","ZMVM","México",15070,15
13,"Valle de México","ZMVM","México",15075,15
13,"Valle de México","ZMVM","México",15081,15
13,"Valle de México","ZMVM","México",15083,15
13,"Valle de México","ZMVM","México",15084,15
13,"Valle de México","ZMVM","México",15089,15
13,"Valle de México","ZMVM","México",15091,15
13,"Valle de México","ZMVM","México",15092,15
13,"Valle de México","ZMVM","México",15093,15
13,"Valle de México","ZMVM","México",15094,15
13,"Valle de México","ZMVM","México",15095,15
13,"Valle de México","ZMVM","México",15096,15
13,"Valle de México","ZMVM","México",15099,15
13,"Valle de México","ZMVM","México",15100,15
13,"Valle de México","ZMVM","México",15103,15
13,"Valle de México","ZMVM","México",15104,15
13,"Valle de México","ZMVM","México",15108,15
13,"Valle de México","ZMVM","México",15109,15
13,"Valle de México","ZMVM","México",15112,15
13,"Valle de México","ZMVM","México",15120,15
13,"Valle de México","ZMVM","México",15121,15
13,"Valle de México","ZMVM","México",15122,15
13,"Valle de México","ZMVM","México",15125,15
14,"León","León","Guanajuato",11020,11
14,"León","León","Guanajuato",11037,11
15,"San Francisco del Rincón","San Francisco","Guanajuato",11025,11
15,"San Francisco del Rincón","San Francisco","Guanajuato",11031,11
16,"Acapulco","Acapulco","Guerrero",12001,12
16,"Acapulco","Acapulco","Guerrero",12021,12
17,"Pachuca","Pachuca","Hidalgo",13022,13
17,"Pachuca","Pachuca","Hidalgo",13039,13
17,"Pachuca","Pachuca","Hidalgo",13048,13
17,"Pachuca","Pachuca","Hidalgo",13051,13
17,"Pachuca","Pachuca","Hidalgo",13052,13
17,"Pachuca","Pachuca","Hidalgo",13082,13
17,"Pachuca","Pachuca","Hidalgo",13083,13
18,"Tulancingo","Tulancingo","Hidalgo",13016,13
18,"Tulancingo","Tulancingo","Hidalgo",13056,13
18,"Tulancingo","Tulancingo","Hidalgo",13077,13
19,"Tula","Tula","Hidalgo",13010,13
19,"Tula","Tula","Hidalgo",13013,13
19,"Tula","Tula","Hidalgo",13070,13
19,"Tula","Tula","Hidalgo",13074,13
19,"Tula","Tula","Hidalgo",13076,13
20,"Guadalajara","Guadalajara","Jalisco",14039,14
20,"Guadalajara","Guadalajara","Jalisco",14044,14
20,"Guadalajara","Guadalajara","Jalisco",14051,14
20,"Guadalajara","Guadalajara","Jalisco",14070,14
20,"Guadalajara","Guadalajara","Jalisco",14097,14
20,"Guadalajara","Guadalajara","Jalisco",14098,14
20,"Guadalajara","Guadalajara","Jalisco",14101,14
20,"Guadalajara","Guadalajara","Jalisco",14120,14
21,"Puerto Vallarta","Puerto Vallarta","Jalisco",14067,14
21,"Puerto Vallarta","Puerto Vallarta","Nayarit",18020,18
22,"Ocotlán","Ocotlán","Jalisco",14063,14
22,"Ocotlán","Ocotlán","Jalisco",14066,14
23,"Toluca","Toluca","México",15005,15
23,"Toluca","Toluca","México",15018,15
23,"Toluca","Toluca","México",15027,15
23,"Toluca","Toluca","México",15051,15
23,"Toluca","Toluca","México",15054,15
23,"Toluca","Toluca","México",15055,15
23,"Toluca","Toluca","México",15062,15
23,"Toluca","Toluca","México",15067,15
23,"Toluca","Toluca","México",15072,15
23,"Toluca","Toluca","México",15073,15
23,"Toluca","Toluca","México",15076,15
23,"Toluca","Toluca","México",15087,15
23,"Toluca","Toluca","México",15106,15
23,"Toluca","Toluca","México",15115,15
23,"Toluca","Toluca","México",15118,15
24,"Morelia","Morelia","Michoacán",16022,16
24,"Morelia","Morelia","Michoacán",16053,16
24,"Morelia","Morelia","Michoacán",16088,16
25,"Zamora-Jacona","Zamora","Michoacán",16043,16
25,"Zamora-Jacona","Zamora","Michoacán",16108,16
26,"La Piedad-Pénjamo","Pénjamo","Guanajuato",11023,11
26,"La Piedad-Pénjamo","Pénjamo","Michoacán",16069,16
27,"Cuernavaca","Cuernavaca","Morelos",17007,17
